custId,gender,SeniorCitizen,Married,Children,TVConnection,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Internet,HighSpeed,AddedServices,Subscription,tenure,PaymentMethod,MonthlyCharges,TotalCharges,Satisfied
5086,Male,0,Yes,Yes,DTH,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Annually,36,Credit card,63.7,2188.5,1
96,Female,0,Yes,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,Yes,No,Biannually,71,Bank transfer,25.0,1753,1
4851,Male,1,Yes,No,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biannually,72,Bank transfer,93.05,6735.05,1
4481,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,Yes,Biannually,20,Cash,19.7,419.4,1
3519,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,Yes,Biannually,47,Bank transfer,21.3,1041.8,1
2393,Male,0,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Annually,68,Credit card,105.75,7322.5,1
3335,Female,0,Yes,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Monthly,4,Net Banking,20.15,91.4,1
534,Female,0,Yes,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,Yes,Yes,Biannually,71,Credit card,24.4,1725.4,1
1138,Male,0,Yes,Yes,Cable,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Annually,68,Bank transfer,85.5,5696.6,1
6681,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Biannually,63,Net Banking,19.35,1263.85,1
4442,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Annually,63,Cash,20.5,1328.15,1
4815,Male,1,No,No,DTH,Yes,No,Yes,No,No,No,No,No internet,Yes,Monthly,1,Net Banking,39.65,39.65,0
6790,Male,0,No,No,Cable,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Monthly,15,Bank transfer,87.75,1242.2,1
6669,Male,0,Yes,Yes,DTH,No,Yes,No,Yes,Yes,Yes,No,No internet,Yes,Annually,56,Cash,52.0,2884.9,1
6591,Female,0,Yes,No,Cable,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Monthly,55,Bank transfer,89.8,4959.6,1
1702,Female,0,Yes,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Biannually,67,Cash,19.65,1335.2,1
1466,Male,1,No,No,Cable,Yes,No,No,No,No,Yes,Yes,No,Yes,Monthly,19,Net Banking,87.3,1637.3,1
671,Female,1,Yes,No,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biannually,72,Credit card,116.75,8277.05,1
2666,Male,1,Yes,No,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Monthly,71,Net Banking,107.5,7713.55,1
3692,Male,0,No,No,DTH,No,No,Yes,No,Yes,No,Yes,No,No,Monthly,5,Net Banking,56.15,291.45,1
6582,Male,0,No,No,Cable,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Monthly,26,Cash,84.3,2281.6,1
1635,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Biannually,11,Cash,20.4,231.45,1
555,Female,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Monthly,1,Credit card,19.4,19.4,1
6775,Female,0,Yes,No,DTH,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Monthly,25,Cash,71.05,1837.7,1
698,Male,0,Yes,Yes,Cable,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Monthly,34,Bank transfer,97.7,3410,1
6251,Female,1,No,No,Cable,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Monthly,16,Net Banking,94.45,1511.2,0
4280,Female,1,No,No,Cable,No,No,No,No,No,No,Yes,No,Yes,Monthly,1,Net Banking,69.6,69.6,0
1189,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,Yes,Yes,Monthly,20,Bank transfer,25.55,507.4,1
1386,Female,0,Yes,No,DTH,No,No,No,No,Yes,No,Yes,No,Yes,Monthly,6,Net Banking,49.15,270.8,0
4568,Female,0,Yes,No,Cable,Yes,No,Yes,No,No,No,Yes,Yes,No,Monthly,23,Cash,90.15,2044.95,1
6117,Male,0,No,No,Cable,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Monthly,56,Net Banking,98.6,5581.05,1
2078,Male,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Monthly,1,Bank transfer,19.95,19.95,0
526,Male,0,No,Yes,DTH,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Annually,41,Cash,70.2,2894.55,1
3907,Male,0,Yes,No,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biannually,69,Bank transfer,112.55,7806.5,1
6483,Male,0,Yes,Yes,DTH,Yes,Yes,Yes,No,Yes,Yes,No,No internet,No,Biannually,72,Bank transfer,60.95,4549.05,1
6757,Male,0,No,No,DTH,No,Yes,No,No,Yes,No,Yes,No,Yes,Monthly,19,Credit card,61.55,1093.2,1
5921,Male,1,Yes,Yes,Cable,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Monthly,32,Cash,93.95,2861.45,1
6329,Female,0,Yes,No,Cable,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Monthly,6,Net Banking,90.75,512.25,1
4189,Female,0,No,No,DTH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Monthly,15,Cash,84.45,1287.85,1
2415,Female,0,Yes,No,Cable,No,No,No,No,No,No,Yes,No,Yes,Monthly,20,Bank transfer,69.8,1540.35,1
4262,Female,0,No,No,Cable,No,No,No,No,No,Yes,Yes,No,No,Monthly,11,Net Banking,76.4,838.7,1
550,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Biannually,72,Credit card,19.7,1379.8,1
4618,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,Yes,Biannually,23,Cash,19.65,451.55,1
6501,Female,1,Yes,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Monthly,3,Cash,88.3,273.75,0
4129,Female,1,Yes,No,Cable,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Monthly,68,Net Banking,100.2,6851.65,0
5915,Female,0,No,No,Cable,No,No,No,No,No,No,Yes,Yes,Yes,Monthly,3,Credit card,75.1,270.7,0
2065,Female,0,Yes,No,DTH,Yes,Yes,Yes,No,No,No,No,No internet,Yes,Monthly,13,Bank transfer,48.75,633.4,0
2458,Female,1,No,No,Cable,No,Yes,No,No,No,No,Yes,No,Yes,Monthly,9,Net Banking,80.85,751.65,0
5168,Male,0,Yes,No,DTH,Yes,Yes,No,No,No,No,No,No internet,Yes,Monthly,59,Net Banking,44.3,2666.75,1
3822,Male,0,Yes,No,Cable,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Annually,61,Bank transfer,96.5,5673.7,1
5233,Female,0,Yes,Yes,Cable,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Annually,60,Bank transfer,94.15,5811.8,1
5414,Male,1,No,No,DTH,No,Yes,No,Yes,No,No,No,No internet,Yes,Monthly,16,Cash,39.0,679.85,0
3370,Female,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,Yes,No,Annually,48,Credit card,25.05,1171.5,1
6495,Female,0,No,No,DTH,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Monthly,37,Credit card,78.9,2976.95,1
4014,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,Yes,Monthly,20,Credit card,19.6,356.15,1
5244,Male,0,Yes,No,Cable,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Monthly,68,Net Banking,107.7,7320.9,1
6189,Male,0,Yes,No,Cable,Yes,Yes,No,No,No,No,Yes,No,Yes,Annually,44,Bank transfer,90.65,3974.15,1
643,Female,0,Yes,No,DTH,No,No,No,Yes,No,No,Yes,No,Yes,Monthly,12,Net Banking,51.25,612.1,1
2342,Female,0,Yes,No,DTH,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Annually,44,Cash,61.5,2722.2,1
764,Male,0,Yes,No,Cable,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Annually,56,Net Banking,93.15,5253.95,1
234,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Monthly,1,Cash,20.3,20.3,1
2473,Male,0,No,No,DTH,No,No,No,No,No,No,No,No internet,No,Monthly,1,Cash,24.4,24.4,1
4689,Female,0,No,No,Cable,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Monthly,7,Net Banking,95.35,660.9,0
4412,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,Yes,Annually,34,Bank transfer,20.1,682.1,1
3875,Male,0,No,No,Cable,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Monthly,5,Net Banking,85.3,424.15,0
617,Male,1,No,No,Cable,Yes,No,No,No,No,Yes,Yes,Yes,No,Monthly,35,Credit card,91.0,3180.5,1
1778,Male,0,Yes,Yes,Cable,No,No,No,Yes,Yes,No,Yes,Yes,No,Annually,51,Bank transfer,84.2,4299.75,1
1529,Female,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Monthly,3,Cash,19.85,57.2,1
464,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Annually,13,Cash,19.45,270.2,1
3950,Female,0,No,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Annually,49,Credit card,19.45,921.3,1
5724,Male,0,No,Yes,DTH,No,No,Yes,No,No,Yes,Yes,No,No,Monthly,3,Cash,55.9,157.55,1
2759,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Annually,7,Cash,19.5,128.6,1
133,Female,0,Yes,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Biannually,57,Bank transfer,19.9,1115.6,1
2507,Female,0,No,No,Cable,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Annually,45,Bank transfer,96.75,4442.75,1
4627,Male,0,No,Yes,Cable,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Monthly,4,Net Banking,101.7,364.55,0
781,Female,0,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Biannually,72,Credit card,107.45,7658.3,1
6174,Male,0,No,No,Cable,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Monthly,32,Credit card,108.15,3432.9,0
6217,Female,0,No,No,DTH,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Annually,50,Credit card,82.5,4179.1,1
452,Female,1,No,No,Cable,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Annually,50,Net Banking,106.8,5347.95,1
4334,Female,0,Yes,Yes,DTH,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Biannually,72,Bank transfer,71.45,5025.85,1
1047,Male,0,No,No,DTH,No,No,No,No,No,No,Yes,No,No,Monthly,1,Credit card,46.2,46.2,0
4011,Male,0,Yes,No,DTH,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Biannually,72,Cash,68.15,4808.7,1
6051,Female,0,Yes,No,Cable,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Annually,51,Net Banking,93.5,4619.55,1
1193,Male,1,Yes,No,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Biannually,72,Bank transfer,109.55,7920.7,1
3959,Female,0,No,No,DTH,No,No,No,No,No,Yes,Yes,No,Yes,Monthly,6,Net Banking,49.45,314.6,1
334,Male,0,Yes,Yes,DTH,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Monthly,11,Bank transfer,65.15,723.35,1
6125,Male,1,No,No,Cable,No,No,No,No,No,No,Yes,Yes,Yes,Monthly,1,Net Banking,74.4,74.4,0
5604,Male,0,Yes,Yes,DTH,No,No,Yes,Yes,No,Yes,No,No internet,No,Monthly,37,Bank transfer,40.2,1448.8,0
2992,Female,1,No,No,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Annually,27,Bank transfer,110.5,2857.6,1
1519,Female,0,No,No,DTH,Yes,Yes,Yes,No,No,No,No,No internet,Yes,Monthly,25,Net Banking,48.25,1293.8,1
1295,Male,0,Yes,Yes,Cable,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Monthly,17,Net Banking,92.55,1515.1,0
5906,Female,0,No,No,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Monthly,15,Net Banking,105.1,1582.75,0
2395,Female,0,Yes,No,DTH,Yes,No,No,Yes,No,No,Yes,No,Yes,Biannually,69,Credit card,61.45,4131.2,1
3318,Female,1,Yes,No,Cable,No,No,No,No,No,No,Yes,No,Yes,Monthly,48,Bank transfer,70.65,3545.05,1
6625,Male,0,Yes,No,Cable,Yes,Yes,No,No,No,No,Yes,No,No,Monthly,33,Net Banking,91.25,2964.05,1
5970,Female,0,No,No,DTH,Yes,No,Yes,No,Yes,Yes,No,No internet,No,Biannually,12,Cash,49.85,552.1,1
4432,Female,0,No,No,DTH,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Annually,30,Credit card,79.3,2427.1,1
4796,Female,0,No,No,Cable,No,No,No,No,No,Yes,Yes,Yes,Yes,Monthly,41,Credit card,81.3,3190.65,1
3407,Male,0,Yes,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,Yes,Yes,Monthly,3,Cash,23.6,89.05,1
6658,Female,0,No,No,Cable,No,No,No,No,No,No,Yes,No,No,Monthly,17,Bank transfer,70.5,1165.6,1
1173,Female,0,Yes,Yes,DTH,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Biannually,71,Credit card,64.05,4492.9,1
637,Male,0,No,Yes,DTH,No,Yes,No,Yes,No,No,No,No internet,Yes,Annually,26,Bank transfer,39.95,1023.75,1
2216,Male,0,No,No,DTH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Biannually,63,Bank transfer,86.7,5309.5,1
1091,Male,0,No,No,DTH,No,No,No,Yes,No,No,No,No internet,Yes,Monthly,14,Cash,31.1,419.7,1
468,Male,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,Yes,Biannually,63,Cash,19.15,1177.05,1
2617,Female,0,No,No,Cable,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Monthly,3,Net Banking,96.6,291.9,0
1756,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Monthly,16,Bank transfer,20.25,327.45,0
821,Female,0,No,No,Cable,No,No,No,Yes,No,No,Yes,No,No,Monthly,8,Net Banking,75.6,535.55,1
2575,Male,0,Yes,No,Cable,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Monthly,5,Net Banking,94.45,498.1,0
5369,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,Yes,No,Biannually,68,Cash,24.55,1657.4,1
5775,Male,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Monthly,1,Bank transfer,20.05,20.05,0
1985,Male,0,No,No,Cable,No,No,No,No,No,No,Yes,Yes,Yes,Monthly,2,Net Banking,76.5,162.45,0
4730,Female,0,Yes,No,DTH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Biannually,72,Bank transfer,91.15,6637.9,1
3914,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,Yes,No,Biannually,49,Cash,25.25,1211.65,1
5365,Male,1,Yes,No,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Biannually,69,Net Banking,109.95,7634.25,1
1670,Male,0,Yes,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Biannually,72,Bank transfer,105.25,7609.75,1
5209,Male,1,Yes,No,Cable,No,No,No,No,No,No,Yes,Yes,No,Monthly,30,Cash,77.9,2351.45,1
3113,Male,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,Yes,No,Biannually,39,Cash,25.2,987.95,1
2865,Female,1,No,No,Cable,No,Yes,No,No,No,No,Yes,No,No,Monthly,20,Bank transfer,80.7,1614.2,1
3110,Female,0,Yes,No,Cable,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Monthly,57,Net Banking,99.65,5497.05,1
6636,Male,0,No,No,DTH,No,No,No,No,Yes,No,Yes,No,Yes,Monthly,4,Cash,50.8,202.3,1
1119,Female,0,No,No,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,Yes,No,Annually,64,Cash,24.7,1642.75,1
6721,Male,0,Yes,No,DTH,No,No,Yes,Yes,No,Yes,No,No internet,No,Biannually,72,Bank transfer,42.1,2962,1
1257,Female,0,No,No,Cable,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Biannually,72,Credit card,107.5,7853.7,1
1175,Male,0,No,Yes,DTH,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Biannually,68,Bank transfer,86.5,5882.75,1
623,Female,0,Yes,Yes,DTH,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Biannually,70,Bank transfer,80.4,5717.85,1
4086,Female,0,No,No,Cable,Yes,Yes,No,No,No,No,Yes,No,Yes,Monthly,6,Net Banking,89.5,573.3,0
4833,Female,0,No,Yes,DTH,No,No,No,Yes,No,Yes,Yes,No,Yes,Monthly,13,Net Banking,56.0,764.55,1
61,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Biannually,71,Bank transfer,20.1,1389.6,1
2378,Female,0,No,Yes,Cable,No,No,No,No,Yes,No,Yes,Yes,Yes,Annually,16,Credit card,79.5,1264.2,1
143,Male,0,Yes,No,DTH,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Biannually,71,Net Banking,83.2,6126.1,1
6132,Female,0,Yes,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Monthly,17,Net Banking,104.2,1743.5,0
4986,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Biannually,72,Bank transfer,20.1,1460.85,1
3256,Female,0,No,No,DTH,No,No,No,Yes,No,Yes,Yes,No,No,Monthly,3,Net Banking,55.35,165.2,0
986,Male,0,No,No,DTH,Yes,Yes,Yes,No,Yes,No,No,No internet,No,Biannually,22,Bank transfer,56.75,1304.85,1
416,Male,0,No,No,DTH,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Monthly,38,Net Banking,69.95,2657.55,1
2179,Male,0,Yes,Yes,DTH,Yes,No,No,No,No,Yes,No,No internet,Yes,Monthly,49,Net Banking,39.2,1838.15,1
647,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,No,Biannually,50,Bank transfer,20.15,930.9,1
6989,Female,0,No,No,Cable,No,No,No,No,No,No,Yes,No,Yes,Monthly,18,Net Banking,71.1,1247.75,1
782,Female,0,Yes,Yes,No,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,No tv connection,Yes,No,Yes,Biannually,24,Credit card,21.1,490.65,1
938,Male,0,No,No,DTH,No,No,Yes,No,Yes,No,No,No internet,No,Annually,39,Cash,35.55,1309.15,1
1937,Female,1,No,No,Cable,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Monthly,4,Net Banking,88.85,372.45,0
4718,Male,1,Yes,No,Cable,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Annually,61,Cash,98.3,6066.55,1
971,Male,0,No,No,DTH,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Annually,18,Credit card,82.0,1425.45,0
3722,Female,0,No,No,Cable,No,No,Yes,No,No,No,Yes,Yes,Yes,Annually,60,Bank transfer,79.2,4765,1
